name,category,commitment,serving,calories,total_fat,saturated_fat,cholesterol,sodium,total_carbohydrate,fiber,sugar,protein,ratio_fat,ratio_carb,ratio_protein
xylitol,sugar,1,12,28.8,0,0,0,0,0,0,0,0,0,0,100
stevia,sugar,1,1,0,0,0,0,0,1,0,0,0,0,100,0
maltitol,sugar,1,4,8,0,0,0,0,2,0,0,0,0,100,0
dextrose,sugar,1,20,70,0,0,0,0,18,0,18,0,0,100,0
raw honey,sugar,2,21,60,0,0,0,0,17,0,16,0,0,100,0
sorbitol,sugar,2,28,105,0,0,0,0,26,0,26,0,0,100,0
maple syrup,sugar,2,28,74,0.06,0.01,0,3,58,0,16.87,0,1,99,0
coconut sugar,sugar,2,4,15,0,0,0,0,4,0,4,0,0,100,0
brown sugar,sugar,2,28,107,0,0,0,11,27.59,0,27.28,0,0,100,0
white sugar,sugar,3,28,110,0,0,0,0,28.34,0,28.32,0,0,100,0
raw,cooking,1,0,0,0,0,0,0,0,0,0,0,0,0,0
lightly heated,cooking,1,0,0,0,0,0,0,0,0,0,0,0,0,0
steamed al dente,cooking,1,0,0,0,0,0,0,0,0,0,0,0,0,0
baked at 350,cooking,1,0,0,0,0,0,0,0,0,0,0,0,0,0
boiled,cooking,2,0,0,0,0,0,0,0,0,0,0,0,0,0
poached,cooking,2,0,0,0,0,0,0,0,0,0,0,0,0,0
lightly grilled,cooking,2,0,0,0,0,0,0,0,0,0,0,0,0,0
broiled,cooking,3,0,0,0,0,0,0,0,0,0,0,0,0,0
barbequed,cooking,3,0,0,0,0,0,0,0,0,0,0,0,0,0
